id,english,spanish,occurrences,element_types,pages
S0145,Microscopic examinations,,1,h2,hair-loss/male-hair-loss/professional-advice/index.html
S0146,Hereditary hair loss,,1,h2,hair-loss/male-hair-loss/types-of-male-hair-loss/index.html
S0147,Imprint,,1,h1,imprint/index.html
S0148,Contents:,,1,h3,imprint/index.html
S0149,Aviso de imprenta - Pantogar,,1,title,imprint/index.html
S0150,Nutrientes especiales para tu cabello,,1,h1,index.html
S0151,Inicio - Pantogar,,1,title,index.html
S0152,Pantogar® - Pantogar,,1,title,pantogar/index.html
S0153,Scientifically proven efficacy,,1,h2,pantogar/pantogar-capsules/convincing-results/index.html
S0154,Studies involving Pantogar&reg;,,1,h2,pantogar/pantogar-capsules/convincing-results/index.html
S0155,The studies incorporated into this meta-analysis include the following,,1,h2,pantogar/pantogar-capsules/convincing-results/index.html
S0156,Millions of satisfied women speak for themselves,,1,h2,pantogar/pantogar-capsules/convincing-results/index.html
S0157,The Pantogar&reg; active ingredients,,1,h2,pantogar/pantogar-capsules/effective-treatment-of-diffuse-hair-loss/index.html
S0158,The key to success is patience,,1,h2,pantogar/pantogar-capsules/how-to-use-pantogar/index.html
S0159,Why do I have to use the products for at least three months?,,1,h2,pantogar/pantogar-capsules/how-to-use-pantogar/index.html
S0160,Tolerability,,1,h2,pantogar/pantogar-capsules/how-to-use-pantogar/index.html
S0161,How Pantogar&reg; capsules work,,1,h3,pantogar/pantogar-capsules/index.html
S0162,Patient Experiences,,1,h3,pantogar/pantogar-capsules/index.html
S0163,Pantogar&reg; capsules: Real Insights and Personal Stories,,1,h2,pantogar/pantogar-capsules/user-experiences-with-pantogar/index.html
S0164,Experiencias de pacientes - Pantogar,,1,title,pantogar/pantogar-capsules/user-experiences-with-pantogar/index.html
S0165,Pantogar&reg; Shampoo for healthy hair growth for women: high customer satisfaction,,1,h2,pantogar/pantogar-shampoo-tonic/convincing-results/index.html
S0166,Pantogar&reg; Tonic for hair growth activation for women: For denser hair in just three months,,1,h2,pantogar/pantogar-shampoo-tonic/convincing-results/index.html
S0167,Pantogar&reg; Anti hair loss shampoo for men: High customer satisfaction,,1,h2,pantogar/pantogar-shampoo-tonic/convincing-results/index.html
S0168,Pantogar&reg; Anti hair loss tonic for men: Reducing hair loss,,1,h2,pantogar/pantogar-shampoo-tonic/convincing-results/index.html
S0169,Activate your hair growth now!1,,1,h2,pantogar/pantogar-shampoo-tonic/for-men/index.html
S0170,Active ingredients Pantogar&reg; Anti hair loss shampoo and Pantogar&reg; Anti hair loss tonic for men,,1,h2,pantogar/pantogar-shampoo-tonic/for-men/index.html
S0171,Pantogar&reg; Anti hair loss shampoo for men,,1,h3,pantogar/pantogar-shampoo-tonic/for-men/index.html
S0172,Pantogar&reg; Anti hair loss tonic for men,,1,h3,pantogar/pantogar-shampoo-tonic/for-men/index.html
S0173,For beautiful and healthy hair:,,1,h2,pantogar/pantogar-shampoo-tonic/pantogar-shampoo-pantogar-tonic-for-women/index.html
S0174,Active ingredients Pantogar&reg; Shampoo for women,,1,h2,pantogar/pantogar-shampoo-tonic/pantogar-shampoo-pantogar-tonic-for-women/index.html
S0175,Active ingredients Pantogar&reg; Tonic for women,,1,h2,pantogar/pantogar-shampoo-tonic/pantogar-shampoo-pantogar-tonic-for-women/index.html
S0176,Pantogar&reg; Shampoo for women for healthy hair growth,,1,h3,pantogar/pantogar-shampoo-tonic/pantogar-shampoo-pantogar-tonic-for-women/index.html
S0177,Pantogar&reg; Tonic for women for hair growth activation,,1,h3,pantogar/pantogar-shampoo-tonic/pantogar-shampoo-pantogar-tonic-for-women/index.html
S0178,The results of the study after 3 months were promising:,,1,h3,pantogar/pantogar-vegan/convincing-results/index.html
S0179,The ingredients of Pantogar&reg; vegan capsules:​,,1,h2,pantogar/pantogar-vegan/how-pantogar-vegan-works/index.html
S0180,Privacy Policy,,1,h1,privacy-policy/index.html
S0181,Data protection,,1,h2,privacy-policy/index.html
S0182,II. Adverse event reports from customers,,1,h2,privacy-policy/index.html
S0183,C. PROCESSING WHEN DIRECT CONTACT IS MADE WITH MERZ (E.G. USING CONTACT FORM OR BY E-MAIL),,1,h2,privacy-policy/index.html
S0184,D. DISCLOSURE OF PERSONAL DATA TO (OTHER) THIRD PARTIES,,1,h2,privacy-policy/index.html
S0185,E. DURATION OF THE RETENTION OF YOUR DATA,,1,h2,privacy-policy/index.html
S0186,F. RIGHTS IN RELATION TO PROCESSING,,1,h2,privacy-policy/index.html
S0187,G. CONTACT INFORMATION,,1,h2,privacy-policy/index.html
S0188,A. CONTROLLER FOR THE PROCESSING OF YOUR PERSONAL DATA,,1,h3,privacy-policy/index.html
S0189,B. DATA PROCESSING IN DIFFERENT PROCESSING CONSTELLATIONS,,1,h3,privacy-policy/index.html
S0190,I. Visitors to our websites,,1,h4,privacy-policy/index.html
S0191,Service,,1,h1;h2,service/index.html
S0192,Our service for you...,,1,h2,service/index.html
S0193,Servicio - Pantogar,,1,title,service/index.html
S0194,Please describe the course of your hair loss,,1,h3,service/preparation-for-doctors-visit/index.html
S0195,Has your hair fallen out or broken off?,,1,h3,service/preparation-for-doctors-visit/index.html
S0196,From which areas of the scalp does hair fall out?,,1,h3,service/preparation-for-doctors-visit/index.html
S0197,Does your scalp itch or do you suffer from excessive dandruff?,,1,h3,service/preparation-for-doctors-visit/index.html
S0198,Have you chemically altered your hair?,,1,h3,service/preparation-for-doctors-visit/index.html
S0199,"Do you have relatives (parents, siblings, grandparents, etc.) who also suffer from hair loss?",,1,h3,service/preparation-for-doctors-visit/index.html
S0200,Diseases and medications,,1,h3,service/preparation-for-doctors-visit/index.html
S0201,Have you experienced professional and/or personal stress or upset in recent months?,,1,h3,service/preparation-for-doctors-visit/index.html
S0202,Have you recently undergone a period of hormonal change?,,1,h3,service/preparation-for-doctors-visit/index.html
S0203,Have you gained or lost a lot of weight?,,1,h3,service/preparation-for-doctors-visit/index.html
S0204,Have you ever counted the number of hairs you are losing per day?,,1,h3,service/preparation-for-doctors-visit/index.html
S0205,Have you ever been treated for hair loss before?,,1,h3,service/preparation-for-doctors-visit/index.html
S0206,How do you care for your hair?,,1,h3,service/preparation-for-doctors-visit/index.html
S0207,Terms of Use,,1,h1,terms-of-use/index.html
S0208,Expert Advice or Opinion,,1,h4,terms-of-use/index.html
S0209,Intellectual Property,,1,h4,terms-of-use/index.html
